rule_id,rule_reference,declaration_type,requirement_description,package_context,commodity_category,applicability_conditions,mandatory_status,source_section,evidence_type,ocr_field,validation_function,human_condition_text,imported_status,quantity_condition,package_structure_condition,exemption_exception,effective_from,effective_to,amendment_version,source_document,source_page,source_url,inspector_review_required,rule_status,rule_family,notes,database_version,baseline_origin
LMPC-R24-ENTITY-001,Rule 24(a),wholesale_responsible_entity,Manufacturer/importer or packer name/address on wholesale package,WHOLESALE,GENERAL,is_wholesale_package == true AND rule_24_applies == true,MANDATORY,Rule 24(a); Rule 2(r),package_label,manufacturer_packer_importer,validate_wholesale_entity,Applies when the package meets the Rule 2(r) wholesale-package definition and Rule 24 is applicable.,NOT_RELEVANT,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,WHOLESALE,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R24-IDENTITY-001,Rule 24(b),wholesale_commodity_identity,Commodity identity on wholesale package,WHOLESALE,GENERAL,is_wholesale_package == true AND rule_24_applies == true,MANDATORY,Rule 24(b); Rule 2(r),package_label,common_generic_name,validate_wholesale_identity,Applies to qualifying wholesale packages under Rule 24.,NOT_RELEVANT,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,WHOLESALE,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R24-QTYCOUNT-001,Rule 24(c),wholesale_count_or_net_quantity,Total number of retail packages OR net quantity,WHOLESALE,GENERAL,is_wholesale_package == true AND rule_24_applies == true AND rule_24_proviso_does_not_displace == true,MANDATORY,Rule 24(c),package_label,wholesale_package_count_or_net_quantity,validate_wholesale_quantity_or_count,"Rule 24(c) permits the total number of retail packages or net quantity in standard units, as applicable.",NOT_RELEVANT,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,WHOLESALE,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R24-MRP-001,Rule 24; Rule 6/18,mrp_on_wholesale_package,MRP is not a Rule 24 declaration unless the package is itself retail,WHOLESALE,GENERAL,is_wholesale_package == true AND package_is_itself_retail_package == false,NOT_APPLICABLE,Rule 24; Rule 6; Rule 18,context_classification,mrp,suppress_wholesale_mrp,"MRP is not a Rule 24 wholesale-package declaration merely because inner retail packages may require MRP. If the package is itself a retail package, retail rules may apply.",NOT_RELEVANT,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,WHOLESALE,Explicit guard against copying the retail checklist onto wholesale shipping/distribution packages.,1.0,v0.1
LMPC-R25-EXPORT-001,Rule 25,export_package_domestic_sale,Export package sold/offered in India must be repacked/relabelled to Chapter II compliance,EXPORT,GENERAL,is_export_package == true AND offered_or_sold_in_india == true,MANDATORY,Rule 25,context_and_package_label,,evaluate_export_domestic_sale,"If an export package is offered/sold in India, Rule 25 requires repacking/relabeling in accordance with Chapter II; export-only packages do not receive a universal LMPC retail checklist from Rule 25.",NOT_RELEVANT,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,True,ACTIVE,EXPORT,"Automated output should be a Rule 25 pathway/review, not an automatic missing-declaration violation.",1.0,v0.1
LMPC-R3-INDINST-001,"Rule 3(c); Rule 2(bb),(bc)",industrial_institutional_exclusion,Industrial/institutional packages satisfying statutory definitions are excluded from Chapter II,INDUSTRIAL|INSTITUTIONAL,GENERAL,industrial_or_institutional_definition_satisfied == true AND package_bears_not_for_retail_sale == true,MANDATORY,"Rule 3(c); Rule 2(bb),(bc)",context_and_package_label,not_for_retail_sale,evaluate_industrial_institutional_scope,"Chapter II exclusion depends on the statutory industrial/institutional definitions and factual conditions, including 'not for retail sale'.",NOT_RELEVANT,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,True,ACTIVE,APPLICABILITY,Classification requires factual basis; do not treat a UI checkbox alone as conclusive.,1.0,v0.1
LMPC-R26-EXEMPTION-001,Rule 26,rule_26_exemption,Evaluate applicable Rule 26 exemptions before treating missing declarations as violations,RETAIL|WHOLESALE|IMPORTED|EXPORT|INDUSTRIAL|INSTITUTIONAL,GENERAL|SPECIFIED_CATEGORIES,specific_rule_26_clause_applies == true,CONDITIONAL,Rule 26,legal_context,,evaluate_rule_26_exemption,Evaluate applicable Rule 26 exemption/proviso before converting a missing declaration into a potential non-compliance. Exact current clause text remains source-verification dependent.,BOTH,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,True,REVIEW_REQUIRED,EXEMPTION,Generic Rule 26 record retained intentionally. Exact current exemption clauses should be decomposed only after official current source text is ingested.,1.0,v0.1
LMPC-R4-GROUP-001,Rule 4(2); 2021 amendment,group_combination_inner_packages,Retail packages inside qualifying group/combo/multi-piece packages independently comply with applicable Rule 6 requirements,RETAIL|IMPORTED,GENERAL,package_is_group_combination_or_multi_piece == true AND inner_package_is_retail_package == true,MANDATORY,Rule 4(2),package_structure_and_label,,validate_inner_retail_packages,"For qualifying grouped/promotional retail packages, every individual retail package in the group must comply with Rule 6; package structure must be classified before applying unit-sale-price exceptions.",BOTH,,GROUP|COMBINATION|MULTI_PIECE|PROMOTIONAL,,2022-10-01,,"G.S.R. 779(E), 02-11-2021; effective date finalized by G.S.R. 226(E), 28-03-2022","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",2,https://consumeraffairs.gov.in/public/upload/admin/cmsfiles/whatsnews/The_Legal_Metrology_Packaged_Commodities_Amendment_Rule%2C_2021_whatsnews.pdf,False,ACTIVE,PACKAGE_STRUCTURE,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R6-IMPORTED-LABEL-001,Rule 6(9),imported_affixed_label,Affixed label on imported package is permitted for required declarations,IMPORTED,GENERAL,is_imported_package == true AND affixed_label_used_for_required_declarations == true,OPTIONAL,Rule 6(9),package_label,,allow_importer_affixed_label,An affixed label on an imported package is a permitted mechanism for making declarations required by the Rules.,IMPORTED,,,,2015-05-14,,"G.S.R. 385(E), 14-05-2015","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,IMPORT,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-QTY-MPE-001,First Schedule; Rules 19-23,quantity_accuracy_mpe,Measured quantity is compared with applicable maximum permissible error,RETAIL|WHOLESALE,GENERAL|SCHEDULE_SPECIFIED,actual_quantity_measured == true AND applicable_mpe_rule_resolved == true,CONDITIONAL,First Schedule; Rules 19–23 and applicable schedules,physical_measurement,net_quantity,compare_measured_quantity_to_mpe,"If actual quantity is measured, compare the measured value with the applicable permissible-error rule and schedule; do not infer actual quantity from package artwork.",NOT_RELEVANT,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,True,ACTIVE,MEASUREMENT,Measurement workflow is distinct from OCR declaration-presence checking.,1.0,v0.1
LMPC-R7-LEGIBILITY-001,Rule 7,display_legibility,Evaluate prescribed display/legibility/numeral-letter presentation where Rule 7 applies,RETAIL|IMPORTED,GENERAL|MEDICAL_DEVICE,chapter_ii_applies == true AND rule_7_applies == true,CONDITIONAL,Rule 7,package_image,,evaluate_display_legibility,Check physical presentation/legibility under Rule 7 where applicable. OCR confidence is not a legal legibility determination.,BOTH,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,True,ACTIVE,PRESENTATION,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R6-ECOM-2026-001,Rule 6(10A); G.S.R.128(E),ecommerce_coo_filter,Searchable/sortable country-of-origin filter for e-commerce imported products,IMPORTED,GENERAL,ecommerce_entity_sells_imported_product == true AND inspection_date >= 2026-07-01 AND inspection_date < 2027-07-01,MANDATORY,Rule 6(10A),ecommerce_listing,,validate_ecommerce_coo_filter,Platform-level obligation for an e-commerce entity selling imported products during the effective period beginning 2026-07-01.,IMPORTED,,,,2026-07-01,2027-07-01,"G.S.R. 128(E), 13-02-2026","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",2,https://consumeraffairs.gov.in/public/upload/files/2026.02.13%20PCR%201st%20COO%20Filter%20on%20e-commerce%20websites_1771231030.pdf,False,ACTIVE,E_COMMERCE,Not a physical-package OCR field; belongs to a separate e-commerce/platform compliance module.,1.0,v0.1
LMPC-R6-ECOM-2027-001,Rule 6(10A); G.S.R. 312(E),ecommerce_coo_filter_future,Revised e-commerce country-of-origin filter rule from 1 July 2027,IMPORTED,GENERAL,ecommerce_entity_sells_imported_product == true AND inspection_date >= 2027-07-01,MANDATORY,Rule 6(10A),ecommerce_listing,,validate_future_ecommerce_coo_filter,Future version applies on/after 2027-07-01; must not be used to flag inspections before its effective date.,IMPORTED,,,,2027-07-01,,"G.S.R. 312(E), 27-04-2026","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",2,https://consumeraffairs.gov.in/public/upload/files/2026.4.27%20PCR%202nd%20COO%20from%201.7.2027_1777348487.pdf,False,FUTURE,E_COMMERCE,Future-effective rule retained for planning/version resolution only.,1.0,v0.1
LMPC-PAN-R26-001,Rule 26(a); G.S.R.881(E),pan_masala_exemption_carveout,Relevant Rule 26(a) exemption clause does not apply to pan masala from 1 Feb 2026,RETAIL|WHOLESALE|IMPORTED,PAN_MASALA,commodity_category == PAN_MASALA AND inspection_date >= 2026-02-01,NOT_APPLICABLE,Rule 26(a),legal_context,,disable_pan_masala_rule_26a_exemption,"From 2026-02-01, the relevant Rule 26(a) exemption clause does not apply to pan masala.",BOTH,,,,2026-02-01,,"G.S.R. 881(E), 02-12-2025","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",2,https://consumeraffairs.gov.in/public/upload/files/2nd%20PCR%20Pan%20Masala_1764736734.pdf,True,ACTIVE,EXEMPTION,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-MDR-OVERLAY-001,"G.S.R.778(E), 23 Oct 2025",medical_device_overlay,"Affected medical-device declaration placement and numeral/letter dimensions route to Medical Devices Rules, 2017",RETAIL|IMPORTED|WHOLESALE,MEDICAL_DEVICE,package_contains_medical_device == true,CONDITIONAL,"2025 Packaged Commodities amendment; Medical Devices Rules, 2017",package_classification,,route_to_mdr_overlay,"If the package contains a medical device covered by the Medical Devices Rules, 2017, the affected declaration placement and numeral/letter height/width provisions are governed by the MDR 2017 overlay identified by the 2025 LMPC amendment.",BOTH,,,,2025-10-23,,"G.S.R. 778(E), 23-10-2025","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,True,REVIEW_REQUIRED,CROSS_REGULATORY_OVERLAY,Exact official amendment PDF/source page should be ingested into the legal source store before production enforcement.,1.0,v0.1
LMPC-R5-HISTORY-001,Rule 5 / Second Schedule history,obsolete_rule5_guard,Do not enforce old Rule 5/Second Schedule checklist as current without current legal basis,ALL,GENERAL,historical_rule_5_logic_encountered == true,REQUIRES_INSPECTOR_REVIEW,Rule 5 history; 2021/2022 amendments,legal_rule_version,,block_obsolete_rule5_enforcement,Historical Rule 5/Second Schedule logic must not be auto-enforced as current; current applicability must be established from a current legal source.,NOT_RELEVANT,,,,2022-10-01,,"G.S.R. 779(E), G.S.R. 226(E)","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/public/upload/files/GSR226_1732871458.pdf,True,HISTORICAL,HISTORICAL_GUARD,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R18-MRP-OVERPRICE-001,Rule 18(2),sale_above_mrp,No sale of a packaged commodity above its retail sale price.,RETAIL|IMPORTED,GENERAL,transaction_observed == true AND applicable_retail_sale_price != null,CONDITIONAL,Rule 18(2),transaction_record|inspector_observation,mrp,validate_sale_price_not_above_mrp,Applies to a transaction involving a packaged commodity when an actual selling price is being checked against the applicable retail sale price.,,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,True,ACTIVE,PRICE_ENFORCEMENT,Separate from MRP declaration presence. Requires an observed selling price; package OCR alone cannot prove the transaction price.,1.0,v0.1
LMPC-R24-PROVISO-001,Rule 24 proviso,wholesale_other_law_substitution,Rule 24 does not apply where similar declarations are required under another law.,WHOLESALE,GENERAL,wholesale_package == true AND similar_declarations_required_under_other_law == true,CONDITIONAL,Rule 24 proviso,legal_context|inspector_review,,evaluate_rule24_proviso,"If another applicable law requires similar wholesale-package declarations, evaluate the Rule 24 proviso before enforcing Rule 24(a)-(c).",,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,True,ACTIVE,EXEMPTION,,1.0,v0.1
LMPC-R3-SCOPE-EXCLUSION-001,Rule 3,chapter_ii_scope_exclusion,Scope/exclusion conditions that remove a package from Chapter II retail-declaration treatment.,RETAIL|WHOLESALE|INDUSTRIAL|INSTITUTIONAL,GENERAL,evaluate_rule3_scope_conditions == true,CONDITIONAL,"Rule 3; Rule 2(bb),(bc)",inspection_context|package_label|legal_context,not_for_retail_sale,evaluate_rule3_scope,"Evaluate package quantity, intended use, industrial/institutional status and specified special treatment before applying Chapter II declarations.",,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,True,ACTIVE,APPLICABILITY,The research baseline identifies >25 kg/>25 litre treatment and industrial/institutional exclusions; exact special-case treatment must be resolved from current Rule 3 text.,1.0,v0.1
LMPC-R6-ECOM-LOOSE-2023-001,2023 amendment; Rule 6 e-commerce proviso,ecommerce_loose_commodity_exception,"Reduced declaration treatment for specified loose commodities ordered through e-commerce where the consumer knows the commodity/type/quantity, subject to the amendment conditions.",RETAIL|IMPORTED,GENERAL,ecommerce_order == true AND loose_commodity_conditions_met == true,CONDITIONAL,2023 amendment to Rule 6,ecommerce_record|inspection_context,,evaluate_ecommerce_loose_commodity_exception,Apply only when the specified e-commerce loose-commodity conditions are met; do not treat this as a universal e-commerce exemption.,,,,,2024-01-01,,"G.S.R. 722(E), 06-10-2023","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/public/upload/files/2023.10.6%20amendment%20in%20PCR_1732871982.pdf,True,ACTIVE,E_COMMERCE,Exact reduced declaration set should be encoded from the official amendment/consolidated text before production enforcement.,1.0,v0.1
LMPC-R6-UNITPRICE-EXCEPTION-001,Rule 6(11) proviso/exception,unit_sale_price_exception,Unit sale price is not required for qualifying combination/group/multi-piece packages under the applicable proviso.,RETAIL|IMPORTED,GENERAL,"package_structure in {COMBINATION,GROUP,MULTI_PIECE} AND qualifying_exception_conditions_met == true",CONDITIONAL,Rule 6(11); 2023 amendment,package_structure|package_label,,evaluate_unit_sale_price_exception,"Evaluate package structure before requiring unit sale price; this is a conditional exception, not a universal exemption.",,,COMBINATION|GROUP|MULTI_PIECE,,2024-01-01,,"G.S.R. 722(E), 06-10-2023","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/public/upload/files/2023.10.6%20amendment%20in%20PCR_1732871982.pdf,,ACTIVE,EXEMPTION,,1.0,v0.1
LMPC-R6-ELECTRONIC-DATE-2023-001,Rule 6(1)(d) proviso/2023 amendment,electronic_product_manufacture_date,"Specific date-placement treatment for qualifying electronic products, spare parts and accessories under the 2023 amendment.",RETAIL|IMPORTED,GENERAL,is_electronic_product_or_qualifying_spare == true AND 2023_date_proviso_applies == true,CONDITIONAL,Rule 6(1)(d) and 2023 amendment,package_label,manufacture_date,validate_electronic_product_date,Applies only when the product falls within the specified electronic-product/spare/accessory category and the amendment conditions are met.,,,,,2024-01-01,,"G.S.R. 722(E), 06-10-2023","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/public/upload/files/2023.10.6%20amendment%20in%20PCR_1732871982.pdf,,ACTIVE,DECLARATION,Exact product/service-spare exceptions must be taken from the authoritative amendment text before production enforcement.,1.0,v0.1
LMPC-AEO-IMPORT-FACILITATION-2026-001,"G.S.R. 418(E), 29-05-2026",aeo_bonded_warehouse_import_facilitation,Administrative/import-facilitation timing and placement conditions introduced by the 2026 Third Amendment for specified AEO/bonded-warehouse pathways.,IMPORTED,GENERAL,"aeo_tier in {2,3} AND bonded_warehouse_pathway == true",REQUIRES_INSPECTOR_REVIEW,"G.S.R. 418(E), 29-05-2026; Rule 4/Rule 27-related provisions",import_document|registration_record,,evaluate_aeo_import_facilitation,Only evaluate when the specified AEO Tier-2/Tier-3 bonded-warehouse pathway and exact amendment conditions are established.,,,,,2026-05-29,,"G.S.R. 418(E), 29-05-2026","Official DCA repository listing for G.S.R. 418(E), Third Amendment Rules, 2026",,https://consumeraffairs.gov.in/pages/legal-metrology-act,True,REVIEW_REQUIRED,ADMINISTRATIVE_IMPORT,The research handoff explicitly says exact operational text should be loaded from the official Gazette before encoding production enforcement logic.,1.0,v0.1

